Unit Name;Agricultural Sciences;Baseline for All Items;Biology & Biochemistry;Chemistry;Clinical Medicine;Computer Science;Economics & Business;Engineering;Environment/Ecology;Geosciences;Global Baseline;Immunology;Materials Science;Mathematics;Microbiology;Molecular Biology & Genetics;Multidisciplinary;Neuroscience & Behavior;Pharmacology & Toxicology;Physics;Plant & Animal Science;Psychiatry/Psychology;Social Sciences, general;Space Science
2004_GERMANY (FED REP GER);0.013771034482758621;0;0.05792;0.11266206896551724;0.24722758620689655;0.02895448275862069;0.007933793103448276;0.03264;0.014742068965517241;0.03187862068965517;0;0.018361379310344827;0.04006620689655172;0.02000551724137931;0.019255172413793105;0.03758344827586207;0.0008606896551724138;0.05711448275862069;0.029395862068965516;0.11721931034482759;0.04032;0.028656551724137933;0.02479448275862069;0.018637241379310346
2005_GERMANY (FED REP GER);0.015015808897395497;0;0.06113126143369251;0.1089703596391976;0.24916725707699303;0.02980955301532247;0.008269269406875548;0.03818456755527827;0.016284750494358496;0.031237112311905846;0;0.019668594752926497;0.03857582454767519;0.01939365740691785;0.012890331722482473;0.039390062072393116;0.0007084923916376749;0.05868854885953874;0.028085907346114394;0.1132001649624076;0.04058498207619994;0.026986157962079795;0.026478581323294597;0.017278754745312846
2006_GERMANY (FED REP GER);0.015303435423756279;0;0.057324582725652246;0.10603022200615783;0.2561780910711392;0.02902690001620483;0.009986225895316805;0.03474923027062064;0.015465483714146815;0.030171366067087993;0;0.01943566682871496;0.038050964187327826;0.01989142764543834;0.016964430400259276;0.03604561659374494;0.0007190892886080052;0.05948185059147626;0.02928010046994004;0.10875465888834873;0.04152487441257495;0.027132960622265435;0.029675093177766974;0.01880772970345163
2007_GERMANY (FED REP GER);0.015624407088377035;0;0.06091336849694532;0.1008518954198763;0.26601335711304214;0.013281220354418852;0.010577543353697871;0.03781353166622396;0.01742685842219102;0.03458809243729367;0;0.023299055136037642;0.032918453307023865;0.020851515956437597;0.016648958372860775;0.036864873069479755;0.0006830341896558266;0.0652866846279361;0.02818464690927029;0.10098470762342049;0.04149432702159147;0.027871589572344705;0.029484309186809853;0.018337570675065456
2008_GERMANY (FED REP GER);0.017303321357870813;0;0.054201187770364395;0.09935662438595205;0.26547950729525627;0.01369235281178972;0.013490725126475547;0.0376127282058802;0.01968619400249285;0.03160055722560305;0;0.021876603856587726;0.03325940318205147;0.021794119803504656;0.016524305300975144;0.036467116357504215;0.000888994794339761;0.05219407581200968;0.027503849255810543;0.0968454432143119;0.0404171860107046;0.04712588899479434;0.03390094581714202;0.018778869418579074
2009_GERMANY (FED REP GER);0.016857542760059508;0;0.05309905897058953;0.0979762145793537;0.26765200397890826;0.013248356059472355;0.013855755772497997;0.03905844241586634;0.01812515955246085;0.03589820332925466;0;0.022156885183848448;0.03402318682382768;0.021382230477380963;0.016118099631158726;0.03917288004295812;0.0007834576008591625;0.06037905263250557;0.02986822067095661;0.09542337520576766;0.03970985660085036;0.030678086954990802;0.03508833704522047;0.019445593711212246
2010_GERMANY (FED REP GER);0.016956450598944205;0;0.05561440221837566;0.09927575546197501;0.27837342082827393;0.01377011909990441;0.015363284849424307;0.03746092438060299;0.020289181112804748;0.0335339861007053;0;0.02164983077996228;0.03491185918137116;0.020383909887100524;0.012771161116421664;0.038545999431627356;0.0009731228632202616;0.05191998002084033;0.027385227478233912;0.09292031587740374;0.03922632426520612;0.032173336433547764;0.03498075283540445;0.021520655178649855
2011_GERMANY (FED REP GER);0.017059708981435023;0;0.04837422783019256;0.09857451901326775;0.2698625517178979;0.015677823200875195;0.015932814029430878;0.04155527954397769;0.020975052026354538;0.03235093318417741;0;0.02084344385677741;0.037031248714763966;0.0216248673636416;0.015488636457108075;0.035797422124978405;0.0009870612718284487;0.05415676178098756;0.02755546050521086;0.09274263199888133;0.04014049172102358;0.033148807712238736;0.03845426204831665;0.02166599491663445
2012_GERMANY (FED REP GER);0.015932077792055247;0;0.053369701460768935;0.09504063822910344;0.26030539767128363;0.014733821570188646;0.016783470370749936;0.040031217727885475;0.0223332886615005;0.0321558363749596;0;0.02565214306548628;0.03591615359752781;0.021521312405893528;0.016712520989192046;0.04168670329756959;0.0012219060157192296;0.05356678307620752;0.026818866228882705;0.08923067220597394;0.04044114748799773;0.033527524418412155;0.039834136112446884;0.02318468124019519
2013_GERMANY (FED REP GER);0.015195501703668617;0;0.05114061759897322;0.0945650679175516;0.2655278316805965;0.015325377786605955;0.018427124237932985;0.0410255626690299;0.023614527785841978;0.03404281326875182;0;0.021452472993414518;0.03546381041147799;0.02177334331596559;0.015294818708267759;0.03821412746191575;0.0013904380643879782;0.05603007013308479;0.025944657509129526;0.08914847128210614;0.04073525142481703;0.035738842116521764;0.03829052515776124;0.02165874677219735
